DB_COLUMN,IPAC_COLUMN,DESCRIPTION,SQL_DATATYPE,INDEX,FOREIGNKEY
,st_denserr1,Stellar Density Upper Unc. [g/cm**3],,,
,st_denserr2,Stellar Density Lower Unc. [g/cm**3],,,
,st_denslim,Stellar Density Limit Flag,,,
,st_dens_reflink,Stellar Density Reference,,,
,st_vsin,Stellar Rotational Velocity [km/s],,,
,st_vsinerr1,Stellar Rotational Velocity [km/s] Upper Unc.,,,
,st_vsinerr2,Stellar Rotational Velocity [km/s] Lower Unc.,,,
,st_vsinlim,Stellar Rotational Velocity Limit Flag,,,
,st_vsin_reflink,Stellar Rotational Velocity Reference,,,
,st_rotp,Stellar Rotational Period [days],,,
,st_rotperr1,Stellar Rotational Period [days] Upper Unc.,,,
,st_rotperr2,Stellar Rotational Period [days] Lower Unc.,,,
,st_rotplim,Stellar Rotational Period Limit Flag,,,
,st_rotp_reflink,Stellar Rotational Period Reference,,,
,st_radv,Systemic Radial Velocity [km/s],,,
,st_radverr1,Systemic Radial Velocity Upper Unc. [km/s],,,
,st_radverr2,Systemic Radial Velocity Lower Unc. [km/s],,,
,st_radvlim,Systemic Radial Velocity Limit Flag,,,
,st_radv_reflink,Systemic Radial Velocity Reference,,,
,rastr,RA [sexagesimal],,,
,ra,RA [decimal],,,
,decstr,Dec [sexagesimal],,,
,dec,Dec [decimal],,,
,raerr1,RA Upper Unc,,,
,raerr2,RA Lower Unc,,,
,decerr1,Dec Upper Unc,,,
,decerr2,Dec Lower Unc,,,
,glat,Galactic Latitude [deg],,,
,glaterr1,Galactic Latitude [deg] Upper Unc,,,
,glaterr2,Galactic Latitude [deg] Lower Unc,,,
,glon,Galactic Longitude [deg],,,
,glonerr1,Galactic Longitude [deg] Upper Unc,,,
,glonerr2,Galactic Longitude [deg] Lower Unc,,,
,elat,Ecliptic Latitude [deg],,,
,elaterr1,Ecliptic Latitude [deg] Upper Unc,,,
,elaterr2,Ecliptic Latitude [deg] Lower Unc,,,
,elon,Ecliptic Longitude [deg],,,
,elonerr1,Ecliptic Longitude [deg] Upper Unc,,,
,elonerr2,Ecliptic Longitude [deg] Lower Unc,,,
,ra_reflink,Position Reference,,,
,sy_pm,Total Proper Motion [mas/yr],,,
,sy_pmerr1,Total Proper Motion Upper Unc [mas/yr],,,
,sy_pmerr2,Total Proper Motion Lower Unc [mas/yr],,,
,sy_pm_reflink,Total Proper Motion Reference,,,
,sy_pmra,Proper Motion (RA) [mas/yr],,,
,sy_pmraerr1,Proper Motion (RA) [mas/yr] Upper Unc,,,
,sy_pmraerr2,Proper Motion (RA) [mas/yr] Lower Unc,,,
,sy_pmra_reflink,Proper Motion (RA) Reference,,,
,sy_pmdec,Proper Motion (Dec) [mas/yr],,,
,sy_pmdecerr1,Proper Motion (Dec) [mas/yr] Upper Unc,,,
,sy_pmdecerr2,Proper Motion (Dec) [mas/yr] Lower Unc,,,
,sy_pmdec_reflink,Proper Motion (Dec) Reference,,,
,sy_dist,Distance [pc],,,
,sy_disterr1,Distance [pc] Upper Unc,,,
,sy_disterr2,Distance [pc] Lower Unc,,,
,sy_dist_reflink,Distance Reference,,,
,sy_plx,Parallax [mas],,,
,sy_plxerr1,Parallax [mas] Upper Unc,,,
,sy_plxerr2,Parallax [mas] Lower Unc,,,
,sy_plx_reflink,Parallax Reference,,,
,sy_bmag,B (Johnson) Magnitude,,,
,sy_bmagerr1,B (Johnson) Magnitude Upper Unc,,,
,sy_bmagerr2,B (Johnson) Magnitude Lower Unc,,,
,sy_bmag_reflink,B (Johnson) Magnitude Reference,,,
,sy_vmag,V (Johnson) Magnitude,,,
,sy_vmagerr1,V (Johnson) Magnitude Upper Unc,,,
,sy_vmagerr2,V (Johnson) Magnitude Lower Unc,,,
,sy_vmag_reflink,V (Johnson) Magnitude Reference,,,
,sy_jmag,J (2MASS) Magnitude,,,
,sy_jmagerr1,J (2MASS) Magnitude Upper Unc,,,
,sy_jmagerr2,J (2MASS) Magnitude Lower Unc,,,
,sy_jmag_reflink,J (2MASS) Magnitude Reference,,,
,sy_hmag,H (2MASS) Magnitude,,,
,sy_hmagerr1,H (2MASS) Magnitude Upper Unc,,,
,sy_hmagerr2,H (2MASS) Magnitude Lower Unc,,,
,sy_hmag_reflink,H (2MASS) Magnitude Reference,,,
,sy_kmag,Ks (2MASS) Magnitude,,,
,sy_kmagerr1,Ks (2MASS) Magnitude Upper Unc,,,
,sy_kmagerr2,Ks (2MASS) Magnitude Lower Unc,,,
,sy_kmag_reflink,K2 (2MASS) Magnitude Reference,,,
,sy_umag,u (Sloan) Magnitude,,,
,sy_umagerr1,u (Sloan) Magnitude Upper Unc,,,
,sy_umagerr2,u (Sloan) Magnitude Lower Unc,,,
,sy_umag_reflink,u (Sloan) Magnitude Reference,,,
,sy_gmag,g (Sloan) Magnitude,,,
,sy_gmagerr1,g (Sloan) Magnitude Upper Unc,,,
,sy_gmagerr2,g (Sloan) Magnitude Lower Unc,,,
,sy_gmag_reflink,g (Sloan) Magnitude Reference,,,
,sy_rmag,r (Sloan) Magnitude,,,
,sy_rmagerr1,r (Sloan) Magnitude Upper Unc,,,
,sy_rmagerr2,r (Sloan) Magnitude Lower Unc,,,
,sy_rmag_reflink,r (Sloan) Magnitude Reference,,,
,sy_imag,i (Sloan) Magnitude,,,
,sy_imagerr1,i (Sloan) Magnitude Upper Unc,,,
,sy_imagerr2,i (Sloan) Magnitude Lower Unc,,,
,sy_imag_reflink,i (Sloan) Magnitude Reference,,,
,sy_zmag,z (Sloan) Magnitude,,,
,sy_zmagerr1,z (Sloan) Magnitude Upper Unc,,,
,sy_zmagerr2,z (Sloan) Magnitude Lower Unc,,,
,sy_zmag_reflink,z (Sloan) Magnitude Reference,,,
,sy_w1mag,W1 (WISE) Magnitude,,,
,sy_w1magerr1,W1 (WISE) Magnitude Upper Unc,,,
,sy_w1magerr2,W1 (WISE) Magnitude Lower Unc,,,
,sy_w1mag_reflink,W1 (WISE) Magnitude Reference,,,
,sy_w2mag,W2 (WISE) Magnitude,,,
,sy_w2magerr1,W2 (WISE) Magnitude Upper Unc,,,
,sy_w2magerr2,W2 (WISE) Magnitude Lower Unc,,,
,sy_w2mag_reflink,W2 (WISE) Magnitude Reference,,,
,sy_w3mag,W3 (WISE) Magnitude,,,
,sy_w3magerr1,W3 (WISE) Magnitude Upper Unc,,,
,sy_w3magerr2,W3 (WISE) Magnitude Lower Unc,,,
,sy_w3mag_reflink,W3 (WISE) Magnitude Reference,,,
,sy_w4mag,W4 (WISE) Magnitude,,,
,sy_w4magerr1,W4 (WISE) Magnitude Upper Unc,,,
,sy_w4magerr2,W4 (WISE) Magnitude Lower Unc,,,
,sy_w4mag_reflink,W4 (WISE) Magnitude Reference,,,
,sy_gaiamag,Gaia Magnitude,,,
,sy_gaiamagerr1,Gaia Magnitude Upper Unc,,,
,sy_gaiamagerr2,Gaia Magnitude Lower Unc,,,
,sy_gaiamag_reflink,Gaia Magnitude Reference,,,
,sy_icmag,I (Cousins) Magnitude,,,
,sy_icmagerr1,I (Cousins) Magnitude Upper Unc,,,
,sy_icmagerr2,I (Cousins) Magnitude Lower Unc,,,
,sy_icmag_reflink,I (Cousins) Magnitude Reference,,,
,sy_tmag,TESS Magnitude,,,
,sy_tmagerr1,TESS Magnitude Upper Unc,,,
,sy_tmagerr2,TESS Magnitude Lower Unc,,,
