r_lam_D,REQ_ExtContStab,REQ_IntContStab,REQ_SystematicC,REQ_AvgRawContrast,REQ_InitStatContrast,ICBE_ExtContStab,ICBE_IntContStab,ICBE_SystematicC,ICBE_AvgRawContrast,ICBE_InitStatContrast,MCBE_ExtContStab,MCBE_IntContStab,MCBE_SystematicC,MCBE_AvgRawContrast,MCBE_InitStatContrast
6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.031638294,0.123097307,0.062549079,5.03213824,5
7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.034323436,0.14401412,0.052317997,2.52994616,2.5
8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019925027,0.077594016,0.049632126,1.126595983,1.1
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.047789532,0.163622183,0.098829267,5.02461214,5
# BDK email 260617 wfov ""best"" with initial contrast repeated from 20200519 - Unity CBE is in MCBE cols",,,,,,,,,,,,,,,
