r_lam_D,REQ_ExtContStab,REQ_IntContStab,REQ_SystematicC,REQ_AvgRawContrast,REQ_InitStatContrast,ICBE_ExtContStab,ICBE_IntContStab,ICBE_SystematicC,ICBE_AvgRawContrast,ICBE_InitStatContrast,MCBE_ExtContStab,MCBE_IntContStab,MCBE_SystematicC,MCBE_AvgRawContrast,MCBE_InitStatContrast
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0877,0.3132,0.2684,3.2111,3
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0713,0.2371,0.2045,2.1841,2
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0714,0.2537,0.1798,2.1140,2
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1145,0.4429,0.2854,4.6253,4.5
# BDK workbook 260620 - spec historical 2020-05-19 (need to dig further to identify where contrast numbers came from then) - MCBE cols contain Unity CBE,,,,,,,,,,,,,,,
