r_lam_D,REQ_ExtContStab,REQ_IntContStab,REQ_SystematicC,REQ_AvgRawContrast,REQ_InitStatContrast,ICBE_ExtContStab,ICBE_IntContStab,ICBE_SystematicC,ICBE_AvgRawContrast,ICBE_InitStatContrast,MCBE_ExtContStab,MCBE_IntContStab,MCBE_SystematicC,MCBE_AvgRawContrast,MCBE_InitStatContrast
6.5,-1,-1,-1,-1,-1,0.497,1.082,0.226,48.132,48.000,-1,-1,-1,-1,-1
7.5,-1,-1,-1,-1,-1,0.342,0.801,0.126,27.926,27.800,-1,-1,-1,-1,-1
8.5,-1,-1,-1,-1,-1,0.232,0.517,0.096,16.423,16.300,-1,-1,-1,-1,-1
19,-1,-1,-1,-1,-1,0.324,0.616,0.227,31.627,31.500,-1,-1,-1,-1,-1
# BDK Worksheet 250620 - WFOV TVAC (band 1) Joon 2025-06-17 (revised same day), mission CBE (std MUFs on IM predictions, MUFs on sensitivities, measured TVAC band 1 initial contrasts)",,,,,,,,,,,,,,,
