r_lam_D,REQ_ExtContStab,REQ_IntContStab,REQ_SystematicC,REQ_AvgRawContrast,REQ_InitStatContrast,ICBE_ExtContStab,ICBE_IntContStab,ICBE_SystematicC,ICBE_AvgRawContrast,ICBE_InitStatContrast,MCBE_ExtContStab,MCBE_IntContStab,MCBE_SystematicC,MCBE_AvgRawContrast,MCBE_InitStatContrast
3,-1,-1,-1,-1,-1,0.341018733,1.54885574,1.634475045,80.14302112,79.3,-1,-1,-1,-1,-1
4,-1,-1,-1,-1,-1,0.300511575,1.404227087,1.283576444,50.36938633,49.8,-1,-1,-1,-1,-1
5,-1,-1,-1,-1,-1,0.205872955,0.861919248,0.67150845,33.41737154,33.2,-1,-1,-1,-1,-1
8,-1,-1,-1,-1,-1,0.165466404,0.699697269,0.472201663,35.82536405,35.7,-1,-1,-1,-1,-1
# BDK email 260617 -    TVAC Joon 2025-06-12 + BDK 2025-06-16,,,,,,,,,,,,,,,
